"test_id","model_id","Expert.1.COH","Expert.1.CON","Expert.1.FLU","Expert.1.REL","Expert.2.COH","Expert.2.CON","Expert.2.FLU","Expert.2.REL","Expert.3.COH","Expert.3.CON","Expert.3.FLU","Expert.3.REL","CIDEr","S3.pyr","S3.resp","BLEU","ROUGE.we.1","ROUGE.we.2","ROUGE.we.3","CHRF","SummaQA","Stats.coverage","Stats.density","Stats.compression","Stats.length","Novel.uni.gram","Repeated.uni.gram","Novel.bi.gram","Repeated.bi.gram","Novel.tri.gram","Repeated.tri.gram","METEOR","ROUGE.1","ROUGE.2","ROUGE.3","ROUGE.4","ROUGE.L","ROUGE.w","ROUGE.su.","BertScore_p","BertScore_r","BertScore_f1","BLANC","SUPERT","MoverScore","BARTScore","BLUERT","G.EVAL.3.5.COH","G.EVAL.3.5.CON","G.EVAL.3.5.FLU","G.EVAL.3.5.REL","G.EVAL.4.COH","G.EVAL.4.CON","G.EVAL.4.FLU","G.EVAL.4.REL"
"dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2","M11",2,1,4,2,1,1,2,1,1,1,3,2,-0.477040970977763,-0.0839769143978027,-0.336562487280552,-1.0438017682984,-0.0860573184873385,-0.41387660461641,0.116655030636386,-0.25281513647595,-1.23975708066194,-1.49223422296801,-0.822791787513738,-0.306338292823547,0.1342401116743,2.4025919668013,1.32396598727059,1.80609896681786,0.598179838961373,1.47172871720695,-0.425115133667629,-0.225281137984992,-0.248849898445287,-0.819196830443885,-1.06563146419851,-0.938441495576524,-0.569087981030202,-0.361898457595784,-0.283683755127374,-0.455233373925443,-0.0748798041551061,-0.303712671044303,-0.454671039090155,-2.3154029337239,0.827221724857769,-0.440510042343004,0.806323049125378,-1.65619285669886,-0.249320370212427,-1.72769293620159,-1.13702747274073,-2.05928944992842,-1.88707140201828,-1.53732219785439,-2.147301515498
"dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2","M13",3,5,5,2,2,5,5,3,2,5,5,3,0.670336996193311,-0.603518635504704,-0.711793546418932,-1.02625089912361,-0.418361981349956,-0.492664333002877,-0.502349743964428,-0.352294716391845,-0.387167484891312,0.87978045760576,-0.0742001640789857,0.504213914456591,-0.736699096899224,-0.629068440813888,1.23993689482402,0.323593953346466,0.461106049694383,0.0965769418327554,-0.425115133667629,-0.511875227491339,-0.367063993948278,-0.869626909700913,-0.935928321130308,-0.938441495576524,-0.38314897047991,-0.37778011982309,-0.559863128003205,-0.134615417663964,-0.632202439773892,-0.453632740089052,0.131079426324595,-1.19957409987988,0.835578028924497,-0.511894001149931,0.265562149298025,-0.168862575797965,0.753014885708313,-1.05952849962295,-0.961657097558492,-0.909871573908753,-1.50171917728234,-0.548123875817141,-1.42364533127037
"dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2","M1",2,5,5,2,2,5,5,4,3,5,5,2,-0.524062512673896,-0.199554001131581,-0.39363430767877,-1.08251122342715,-0.658082042385147,-0.439840206805074,-0.91621031382196,-0.13919293938913,0.226849677516271,0.87978045760576,0.386721010899108,-0.306338292823547,0.1342401116743,-0.629068440813888,1.656504929694,-0.303825620161764,1.1431490200637,-0.236565120970302,0.768750756722629,0.115685859688864,-0.621667673511026,-0.83161537619815,-1.08764188766289,-0.938441495576524,-0.17601665278973,-0.223920079778832,-0.609010108119244,0.265782218486657,-0.104723080664426,0.097799771193172,0.523724210888165,0.400512959854809,1.10221092247485,-0.485053443359425,0.198367905875542,0.0742936050778513,0.0128677420209504,-0.167184267601957,-0.226245150623793,-0.63354148470897,-0.790112149838023,-0.0228211980717247,-0.791565250786259
"dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2","M14",2,5,5,3,1,5,5,2,2,5,5,3,0.624627935617187,-0.222324930858708,-0.434005326811341,-0.760597986402308,-0.270365362409011,0.220430668879803,-0.326767130990321,-0.263560920635874,-0.490120223309855,0.87978045760576,-0.130907966349472,0.459152504124657,-0.678814980263829,-0.629068440813888,1.63947942711494,0.379054897711436,1.67782825491425,0.232446089820958,1.44009004618493,-0.0451227719072275,-0.229004218448187,-0.612679340686246,-0.942595830825738,-0.938441495576524,-0.151924777124591,-0.230014556733817,-0.317847658462693,0.51138700030296,-0.257375894756045,0.144231243386434,-0.454671039090155,-1.57950009347979,1.01207305244624,-0.295928110293362,0.728817748126743,0.383791573325794,0.870624798165196,-0.893925457774236,0.00590620740827556,-0.584316001123293,-0.237821852865079,-0.381942162439219,-1.2468515819645
"dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2","M15",4,5,3,4,3,5,3,4,3,5,4,4,-1.41225793960691,-0.113833278296266,-0.357039270648329,-1.33031539896917,-0.827100869557277,-0.710738827901349,-0.934196262516284,-0.41779479596047,-0.0222739631902859,-1.12474238986974,0.120682894774355,-0.896865832542686,0.935840037410427,1.24043325341141,1.24956923527839,0.298867465440763,1.09750304913173,0.229168731057187,0.463414488886188,-0.119694775191589,-0.762257806894549,-0.986896473738011,-1.19297225859803,-0.938441495576524,-0.989394601092813,-0.854336398182944,-0.931070161578268,-0.858477685084503,-0.383999913755289,-0.725288400650722,0.404569170840621,0.204309459809177,-0.0227638745846676,-0.350666814297462,-0.996552173086895,-1.19828307961363,0.905822824749245,0.146198317311713,0.75507467813981,-0.541476508403347,1.43030995509834,-0.433861569704882,-0.344087542536549
"dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2","M12",5,5,5,4,3,5,5,4,4,5,5,4,-1.2279423691367,-0.296012823360198,-0.557996732518846,-1.46958161715336,-0.893083164130781,-0.833816367471987,-0.747719106668091,-0.770200523873241,-0.461884042272857,-1.13851831575398,0.214096001438255,-0.777625477786039,0.720694003385403,1.24569172634168,1.02328214297835,0.211919846569614,0.987847528909851,0.143127729575447,-0.156740472331072,-0.525428179622724,-0.833076733032963,-1.17470615165144,-1.17170711253912,-0.938441495576524,-0.90216736686201,-0.729217844348112,-0.756432701045496,-0.904075611787211,-0.806367431182558,-0.958601391868252,0.314187289575245,0.373307255764325,-0.197913125420195,-0.412900814783288,-0.975058169532211,-1.78182081780747,-0.457595867997565,-1.25345702823315,-0.528036019052148,-0.797209722648798,-1.00991316220936,1.61441599360743,-1.1040295520774
"dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2","M5",4,4,5,2,3,5,5,4,3,5,5,3,-0.746920827089026,-0.58586755923785,-0.694774156368807,-1.44442726102363,-0.800458190814966,-1.09279733899634,-0.964055387748367,-0.603612062759594,0.138995923542662,0.87978045760576,0.835788656218563,-0.673856505119244,0.602370357746657,-0.629068440813888,0.683517765983535,-1.18330954918292,0.0514961551540926,-1.23234302290544,-0.425115133667629,-0.601773184987168,-0.738827351705493,-1.09463141520567,-1.1175727950915,-0.938441495576524,-0.704831227623136,-0.619747746581154,-0.778217567855865,-1.47336015084635,-0.744584441515189,-1.24001372188546,0.523724210888165,1.30762267255685,-0.334928061842615,-0.205487846123212,-1.13917430681086,0.180787168052907,0.169673712653663,-0.896120722674479,-0.105728754398659,-0.555079391566453,0.585605373162249,-0.575884587631127,-0.762103959869304
"dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2","M17",4,5,5,4,4,5,5,4,2,5,5,3,1.21743677506194,-0.265141766743195,-0.443795479684963,-0.708388051645442,0.292850393364043,-0.206522626579777,-1.27991005212745,-0.240568821292576,-0.0133393663951298,0.87978045760576,-1.31527735793809,1.06003877330053,-1.48878943856128,-0.629068440813888,-0.0906722798428647,0.827938403137048,-0.889503676848391,0.945169477357223,-0.425115133667629,0.174280023803485,0.353757788990087,-0.708524305268544,-1.28501826131317,-0.938441495576524,-0.622034271442923,-0.897553821202931,-0.435734190829443,1.13804974180638,-0.118180305341367,0.655633052063483,-1.26975864723953,-1.05835692320501,1.91938252666549,-0.515274129306302,0.588819358241364,-0.0149871101435279,-0.415315644969948,-0.43817874502229,-1.1014425591331,-0.909871573908753,-0.824338473033836,1.61441599360743,-1.0254572933873
"dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2","M20",5,5,5,2,5,5,5,3,4,5,5,3,-0.324240759447036,-0.628544252747694,-0.637585855838656,-1.1451522912035,0.371428188597434,0.183988518609578,-0.356836301501301,-1.40783984959912,-1.58359741066629,-1.4694347778438,-1.06097064308585,2.38005108583629,-2.28850994871396,2.0912416572317,-2.45642011087725,1.0831626329263,-0.889503676848391,0.935558382610606,-0.425115133667629,-0.725222889628205,0.429184971046845,-0.346330816132997,-1.28501826131317,-0.938441495576524,-0.226032455844291,-0.646849586283314,-0.104857740157735,1.2204966859518,-1.67202921146446,-0.490075795313717,-1.15134586111506,-1.33290066308114,-2.13330505849285,-0.331791853404118,-0.539205002478134,-0.562690232222761,-1.80436450734054,-1.18296468231954,-1.9237452561699,-1.77443747140661,-1.30248963857976,-0.271574516706234,-1.9562239808901
"dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2","M23",5,5,5,5,5,5,5,4,3,5,5,3,0.992585240224036,-0.400049689305867,-0.623159673645511,-0.764545390539897,-0.473984146266776,0.149293971567204,-0.442442119760642,-0.652244729287562,-0.261810591008763,-0.904653912458998,-0.338597949449371,0.459152504124657,-0.678814980263829,0.270230279850797,0.737397183505661,0.592239933046782,-0.220100232616308,0.445596068657369,-0.425115133667629,-0.0793721640269526,-0.423121467456889,-0.792692291415453,-1.28501826131317,-0.938441495576524,-0.507523677914951,-0.65415500380337,-0.762338895407089,-1.07946669728432,-0.530542947219893,-0.910790554556859,-0.454671039090155,-0.61771184844414,0.0933311176012364,-0.736851900772086,-1.67796130471715,0.84718024383678,0.840679832055444,-1.03668035497668,0.0430747527479675,-0.854326780933357,-0.540602754053674,-0.40581718838484,-1.1040295520774
